Cycle,Body,x,y,vx,vy
140,3,2.999362,2.999362,-0.000184,-0.000184
141,1,0.000210,0.000210,0.000060,0.000060
141,2,2.000437,2.000437,0.000125,0.000125
141,3,2.999353,2.999353,-0.000185,-0.000185
142,1,0.000213,0.000213,0.000061,0.000061
142,2,2.000443,2.000443,0.000126,0.000126
142,3,2.999344,2.999344,-0.000186,-0.000186
143,1,0.000216,0.000216,0.000061,0.000061
143,2,2.000449,2.000449,0.000127,0.000127
143,3,2.999334,2.999334,-0.000188,-0.000188
144,1,0.000219,0.000219,0.000061,0.000061
144,2,2.000456,2.000456,0.000128,0.000128
144,3,2.999325,2.999325,-0.000189,-0.000189
145,1,0.000222,0.000222,0.000062,0.000062
145,2,2.000462,2.000462,0.000128,0.000128
145,3,2.999315,2.999315,-0.000190,-0.000190
146,1,0.000225,0.000225,0.000062,0.000062
146,2,2.000469,2.000469,0.000129,0.000129
146,3,2.999306,2.999306,-0.000192,-0.000192
147,1,0.000229,0.000229,0.000063,0.000063
147,2,2.000475,2.000475,0.000130,0.000130
147,3,2.999296,2.999296,-0.000193,-0.000193
148,1,0.000232,0.000232,0.000063,0.000063
148,2,2.000482,2.000482,0.000131,0.000131
148,3,2.999287,2.999287,-0.000194,-0.000194
149,1,0.000235,0.000235,0.000063,0.000063
149,2,2.000488,2.000488,0.000132,0.000132
149,3,2.999277,2.999277,-0.000195,-0.000195
150,1,0.000238,0.000238,0.000064,0.000064
150,2,2.000495,2.000495,0.000133,0.000133
150,3,2.999267,2.999267,-0.000197,-0.000197
151,1,0.000241,0.000241,0.000064,0.000064
151,2,2.000501,2.000501,0.000134,0.000134
151,3,2.999257,2.999257,-0.000198,-0.000198
152,1,0.000244,0.000244,0.000065,0.000065
152,2,2.000508,2.000508,0.000135,0.000135
152,3,2.999247,2.999247,-0.000199,-0.000199
153,1,0.000248,0.000248,0.000065,0.000065
153,2,2.000515,2.000515,0.000136,0.000136
153,3,2.999238,2.999238,-0.000201,-0.000201
154,1,0.000251,0.000251,0.000066,0.000066
154,2,2.000522,2.000522,0.000136,0.000136
154,3,2.999227,2.999227,-0.000202,-0.000202
155,1,0.000254,0.000254,0.000066,0.000066
155,2,2.000528,2.000528,0.000137,0.000137
155,3,2.999217,2.999217,-0.000203,-0.000203
156,1,0.000258,0.000258,0.000066,0.000066
156,2,2.000535,2.000535,0.000138,0.000138
156,3,2.999207,2.999207,-0.000205,-0.000205
157,1,0.000261,0.000261,0.000067,0.000067
157,2,2.000542,2.000542,0.000139,0.000139
157,3,2.999197,2.999197,-0.000206,-0.000206
158,1,0.000264,0.000264,0.000067,0.000067
158,2,2.000549,2.000549,0.000140,0.000140
158,3,2.999187,2.999187,-0.000207,-0.000207
159,1,0.000268,0.000268,0.000068,0.000068
159,2,2.000556,2.000556,0.000141,0.000141
159,3,2.999176,2.999176,-0.000209,-0.000209
160,1,0.000271,0.000271,0.000068,0.000068
160,2,2.000563,2.000563,0.000142,0.000142
160,3,2.999166,2.999166,-0.000210,-0.000210
